symbol,buy_thr,sell_thr,min_edge,fee,slippage,Sharpe,Calmar,MaxDD,CAGR,total_return,profit_factor,win_rate,n_trades
BTC,0.65,0.45,0.01,0.0005,0.001,0.961134908905213,1.407365460728076,-0.4021934620325386,0.5660331869952435,7.811935919636028,1.252575843627712,0.27202072538860106,1930.0
BTC,0.65,0.45,0.02,0.0005,0.001,0.961134908905213,1.407365460728076,-0.4021934620325386,0.5660331869952435,7.811935919636028,1.252575843627712,0.27202072538860106,1930.0
BTC,0.65,0.45,0.03,0.0005,0.001,0.961134908905213,1.407365460728076,-0.4021934620325386,0.5660331869952435,7.811935919636028,1.252575843627712,0.27202072538860106,1930.0
BTC,0.6,0.45,0.01,0.0005,0.001,0.9307286516383257,1.0739033631809645,-0.5285635443713157,0.5676261679552068,7.8555076857645005,1.2096342433639469,0.2636116152450091,2204.0
BTC,0.6,0.45,0.02,0.0005,0.001,0.9307286516383257,1.0739033631809645,-0.5285635443713157,0.5676261679552068,7.8555076857645005,1.2096342433639469,0.2636116152450091,2204.0
BTC,0.6,0.45,0.03,0.0005,0.001,0.9307286516383257,1.0739033631809645,-0.5285635443713157,0.5676261679552068,7.8555076857645005,1.2096342433639469,0.2636116152450091,2204.0
BTC,0.65,0.45,0.01,0.0005,0.0005,0.8503419902535583,0.9944749320751076,-0.46893022698377507,0.4663393556276545,5.404451052039158,1.2106176282010814,0.2689119170984456,1930.0
BTC,0.65,0.45,0.02,0.0005,0.0005,0.8503419902535583,0.9944749320751076,-0.46893022698377507,0.4663393556276545,5.404451052039158,1.2106176282010814,0.2689119170984456,1930.0
BTC,0.65,0.45,0.03,0.0005,0.0005,0.8503419902535583,0.9944749320751076,-0.46893022698377507,0.4663393556276545,5.404451052039158,1.2106176282010814,0.2689119170984456,1930.0
BTC,0.65,0.4,0.01,0.0005,0.001,0.8893288266715276,0.9572335297105554,-0.48500495770721996,0.4642630075932008,5.360574066321965,1.2591067824226236,0.2717678100263852,1516.0
BTC,0.65,0.4,0.02,0.0005,0.001,0.8893288266715276,0.9572335297105554,-0.48500495770721996,0.4642630075932008,5.360574066321965,1.2591067824226236,0.2717678100263852,1516.0
BTC,0.65,0.4,0.03,0.0005,0.001,0.8893288266715276,0.9572335297105554,-0.48500495770721996,0.4642630075932008,5.360574066321965,1.2591067824226236,0.2717678100263852,1516.0
BTC,0.6,0.45,0.01,0.0005,0.0005,0.871351609508444,0.8898968040636432,-0.5730039320381781,0.5099143678366758,6.382136755486073,1.1878190326047229,0.26270417422867515,2204.0
BTC,0.6,0.45,0.02,0.0005,0.0005,0.871351609508444,0.8898968040636432,-0.5730039320381781,0.5099143678366758,6.382136755486073,1.1878190326047229,0.26270417422867515,2204.0
BTC,0.6,0.45,0.03,0.0005,0.0005,0.871351609508444,0.8898968040636432,-0.5730039320381781,0.5099143678366758,6.382136755486073,1.1878190326047229,0.26270417422867515,2204.0
BTC,0.65,0.4,0.01,0.0005,0.0005,0.8466633086440296,0.8342084742095351,-0.5160201954792569,0.430468419932057,4.67934736363666,1.2385604268255368,0.26978891820580475,1516.0
BTC,0.65,0.4,0.02,0.0005,0.0005,0.8466633086440296,0.8342084742095351,-0.5160201954792569,0.430468419932057,4.67934736363666,1.2385604268255368,0.26978891820580475,1516.0
BTC,0.65,0.4,0.03,0.0005,0.0005,0.8466633086440296,0.8342084742095351,-0.5160201954792569,0.430468419932057,4.67934736363666,1.2385604268255368,0.26978891820580475,1516.0
BTC,0.65,0.45,0.01,0.0005,0.0002,0.7835117798414928,0.7911227738730403,-0.5175701422580372,0.4094615266170425,4.286004035258813,1.1866692357342696,0.26528497409326424,1930.0
BTC,0.65,0.45,0.02,0.0005,0.0002,0.7835117798414928,0.7911227738730403,-0.5175701422580372,0.4094615266170425,4.286004035258813,1.1866692357342696,0.26528497409326424,1930.0
BTC,0.65,0.45,0.03,0.0005,0.0002,0.7835117798414928,0.7911227738730403,-0.5175701422580372,0.4094615266170425,4.286004035258813,1.1866692357342696,0.26528497409326424,1930.0
BTC,0.6,0.45,0.01,0.0005,0.0002,0.8353684129484581,0.7863972979607199,-0.6054846363916333,0.4761514820151094,5.615061521456958,1.174939590117256,0.2599818511796733,2204.0
BTC,0.6,0.45,0.02,0.0005,0.0002,0.8353684129484581,0.7863972979607199,-0.6054846363916333,0.4761514820151094,5.615061521456958,1.174939590117256,0.2599818511796733,2204.0
BTC,0.6,0.45,0.03,0.0005,0.0002,0.8353684129484581,0.7863972979607199,-0.6054846363916333,0.4761514820151094,5.615061521456958,1.174939590117256,0.2599818511796733,2204.0
BTC,0.6,0.4,0.01,0.0005,0.001,0.8562750068243674,0.7795753436010071,-0.597443814725213,0.4657524671467044,5.392024754137672,1.2049680118269481,0.26145251396648045,1790.0
BTC,0.6,0.4,0.02,0.0005,0.001,0.8562750068243674,0.7795753436010071,-0.597443814725213,0.4657524671467044,5.392024754137672,1.2049680118269481,0.26145251396648045,1790.0
BTC,0.6,0.4,0.03,0.0005,0.001,0.8562750068243674,0.7795753436010071,-0.597443814725213,0.4657524671467044,5.392024754137672,1.2049680118269481,0.26145251396648045,1790.0
BTC,0.6,0.4,0.01,0.0005,0.0005,0.864984171238577,0.7677787258336458,-0.6160335580900503,0.47297746030114607,5.546340752643624,1.2051872424307728,0.2620111731843575,1790.0
BTC,0.6,0.4,0.02,0.0005,0.0005,0.864984171238577,0.7677787258336458,-0.6160335580900503,0.47297746030114607,5.546340752643624,1.2051872424307728,0.2620111731843575,1790.0
BTC,0.6,0.4,0.03,0.0005,0.0005,0.864984171238577,0.7677787258336458,-0.6160335580900503,0.47297746030114607,5.546340752643624,1.2051872424307728,0.2620111731843575,1790.0
BTC,0.65,0.4,0.01,0.0005,0.0002,0.8207375752219749,0.7635921444598284,-0.5375402808560295,0.41046153579239397,4.304223898617142,1.2262375612748968,0.26649076517150394,1516.0
BTC,0.65,0.4,0.02,0.0005,0.0002,0.8207375752219749,0.7635921444598284,-0.5375402808560295,0.41046153579239397,4.304223898617142,1.2262375612748968,0.26649076517150394,1516.0
BTC,0.65,0.4,0.03,0.0005,0.0002,0.8207375752219749,0.7635921444598284,-0.5375402808560295,0.41046153579239397,4.304223898617142,1.2262375612748968,0.26649076517150394,1516.0
BTC,0.6,0.4,0.01,0.0005,0.0002,0.869883965171887,0.7520297394957294,-0.6345477877710678,0.4771988075350675,5.637862396413554,1.2049571922989237,0.25977653631284914,1790.0
BTC,0.6,0.4,0.02,0.0005,0.0002,0.869883965171887,0.7520297394957294,-0.6345477877710678,0.4771988075350675,5.637862396413554,1.2049571922989237,0.25977653631284914,1790.0
BTC,0.6,0.4,0.03,0.0005,0.0002,0.869883965171887,0.7520297394957294,-0.6345477877710678,0.4771988075350675,5.637862396413554,1.2049571922989237,0.25977653631284914,1790.0
BTC,0.65,0.35,0.01,0.0005,0.001,0.8213997359815459,0.7307882625483267,-0.5332688959495396,0.3897066499420285,3.936140730028173,1.2445859426664814,0.26437699680511184,1252.0
BTC,0.65,0.35,0.02,0.0005,0.001,0.8213997359815459,0.7307882625483267,-0.5332688959495396,0.3897066499420285,3.936140730028173,1.2445859426664814,0.26437699680511184,1252.0
BTC,0.65,0.35,0.03,0.0005,0.001,0.8213997359815459,0.7307882625483267,-0.5332688959495396,0.3897066499420285,3.936140730028173,1.2445859426664814,0.26437699680511184,1252.0
BTC,0.6,0.35,0.01,0.0005,0.0002,0.8809082385701281,0.7115990469501456,-0.6525040865177284,0.4643212860970909,5.36180233222869,1.2188341356587422,0.25688073394495414,1526.0
BTC,0.6,0.35,0.02,0.0005,0.0002,0.8809082385701281,0.7115990469501456,-0.6525040865177284,0.4643212860970909,5.36180233222869,1.2188341356587422,0.25688073394495414,1526.0
BTC,0.6,0.35,0.03,0.0005,0.0002,0.8809082385701281,0.7115990469501456,-0.6525040865177284,0.4643212860970909,5.36180233222869,1.2188341356587422,0.25688073394495414,1526.0
BTC,0.65,0.35,0.01,0.0005,0.0005,0.8292475208702756,0.7110076605363883,-0.5556080036055031,0.39504154681884196,4.028754239687269,1.2462169864554336,0.26677316293929715,1252.0
BTC,0.65,0.35,0.02,0.0005,0.0005,0.8292475208702756,0.7110076605363883,-0.5556080036055031,0.39504154681884196,4.028754239687269,1.2462169864554336,0.26677316293929715,1252.0
BTC,0.65,0.35,0.03,0.0005,0.0005,0.8292475208702756,0.7110076605363883,-0.5556080036055031,0.39504154681884196,4.028754239687269,1.2462169864554336,0.26677316293929715,1252.0
BTC,0.65,0.35,0.01,0.0005,0.0002,0.833669936819285,0.7003593395064565,-0.568516439926683,0.3981657983656137,4.0836281250901125,1.2468120102149407,0.26437699680511184,1252.0
BTC,0.65,0.35,0.02,0.0005,0.0002,0.833669936819285,0.7003593395064565,-0.568516439926683,0.3981657983656137,4.0836281250901125,1.2468120102149407,0.26437699680511184,1252.0
BTC,0.65,0.35,0.03,0.0005,0.0002,0.833669936819285,0.7003593395064565,-0.568516439926683,0.3981657983656137,4.0836281250901125,1.2468120102149407,0.26437699680511184,1252.0
BTC,0.6,0.35,0.01,0.0005,0.0005,0.8461432397894599,0.6768299648321028,-0.6449150217590613,0.4364978114968803,4.7964298900031554,1.2076371908706078,0.2581913499344692,1526.0
BTC,0.6,0.35,0.02,0.0005,0.0005,0.8461432397894599,0.6768299648321028,-0.6449150217590613,0.4364978114968803,4.7964298900031554,1.2076371908706078,0.2581913499344692,1526.0
BTC,0.6,0.35,0.03,0.0005,0.0005,0.8461432397894599,0.6768299648321028,-0.6449150217590613,0.4364978114968803,4.7964298900031554,1.2076371908706078,0.2581913499344692,1526.0
BTC,0.6,0.35,0.01,0.0005,0.001,0.787718374003306,0.6189287645299822,-0.6319309953127547,0.39112027019712525,3.9605481214830487,1.1892175618083476,0.25360419397116646,1526.0
BTC,0.6,0.35,0.02,0.0005,0.001,0.787718374003306,0.6189287645299822,-0.6319309953127547,0.39112027019712525,3.9605481214830487,1.1892175618083476,0.25360419397116646,1526.0
BTC,0.6,0.35,0.03,0.0005,0.001,0.787718374003306,0.6189287645299822,-0.6319309953127547,0.39112027019712525,3.9605481214830487,1.1892175618083476,0.25360419397116646,1526.0
BTC,0.65,0.45,0.01,0.001,0.001,0.6259541371583239,0.5148055994700572,-0.5513183885682056,0.283821793525721,2.360529269361779,1.1951530179228669,0.26476683937823836,1930.0
BTC,0.65,0.45,0.02,0.001,0.001,0.6259541371583239,0.5148055994700572,-0.5513183885682056,0.283821793525721,2.360529269361779,1.1951530179228669,0.26476683937823836,1930.0
BTC,0.65,0.45,0.03,0.001,0.001,0.6259541371583239,0.5148055994700572,-0.5513183885682056,0.283821793525721,2.360529269361779,1.1951530179228669,0.26476683937823836,1930.0
BTC,0.65,0.4,0.01,0.001,0.001,0.6020316539631773,0.4494623390999176,-0.5616836665994125,0.2524556546239902,1.980514933774994,1.2008005633739882,0.2631926121372032,1516.0
BTC,0.65,0.4,0.02,0.001,0.001,0.6020316539631773,0.4494623390999176,-0.5616836665994125,0.2524556546239902,1.980514933774994,1.2008005633739882,0.2631926121372032,1516.0
BTC,0.65,0.4,0.03,0.001,0.001,0.6020316539631773,0.4494623390999176,-0.5616836665994125,0.2524556546239902,1.980514933774994,1.2008005633739882,0.2631926121372032,1516.0
BTC,0.6,0.45,0.01,0.001,0.001,0.5701921898842957,0.39112634345227265,-0.6373460953819392,0.24928284780032128,1.944062432077791,1.1582852587149306,0.25680580762250454,2204.0
BTC,0.6,0.45,0.02,0.001,0.001,0.5701921898842957,0.39112634345227265,-0.6373460953819392,0.24928284780032128,1.944062432077791,1.1582852587149306,0.25680580762250454,2204.0
BTC,0.6,0.45,0.03,0.001,0.001,0.5701921898842957,0.39112634345227265,-0.6373460953819392,0.24928284780032128,1.944062432077791,1.1582852587149306,0.25680580762250454,2204.0
BTC,0.65,0.4,0.01,0.001,0.0005,0.5590935229966733,0.3645712377386791,-0.6131260134777203,0.22352810962335457,1.661071823191845,1.1838519611565497,0.2605540897097625,1516.0
BTC,0.65,0.4,0.02,0.001,0.0005,0.5590935229966733,0.3645712377386791,-0.6131260134777203,0.22352810962335457,1.661071823191845,1.1838519611565497,0.2605540897097625,1516.0
BTC,0.65,0.4,0.03,0.001,0.0005,0.5590935229966733,0.3645712377386791,-0.6131260134777203,0.22352810962335457,1.661071823191845,1.1838519611565497,0.2605540897097625,1516.0
BTC,0.6,0.35,0.01,0.001,0.0002,0.5961895562618792,0.3561319019217366,-0.7053390442222065,0.2511937353185143,1.9659740315061809,1.1747823709010745,0.254259501965924,1526.0
BTC,0.6,0.35,0.02,0.001,0.0002,0.5961895562618792,0.3561319019217366,-0.7053390442222065,0.2511937353185143,1.9659740315061809,1.1747823709010745,0.254259501965924,1526.0
BTC,0.6,0.35,0.03,0.001,0.0002,0.5961895562618792,0.3561319019217366,-0.7053390442222065,0.2511937353185143,1.9659740315061809,1.1747823709010745,0.254259501965924,1526.0
BTC,0.65,0.35,0.01,0.001,0.001,0.5684412391233079,0.35601347302071207,-0.6220617312787576,0.22146235738582742,1.639345696560381,1.1968056173698167,0.25798722044728434,1252.0
BTC,0.65,0.35,0.02,0.001,0.001,0.5684412391233079,0.35601347302071207,-0.6220617312787576,0.22146235738582742,1.639345696560381,1.1968056173698167,0.25798722044728434,1252.0
BTC,0.65,0.35,0.03,0.001,0.001,0.5684412391233079,0.35601347302071207,-0.6220617312787576,0.22146235738582742,1.639345696560381,1.1968056173698167,0.25798722044728434,1252.0
BTC,0.65,0.35,0.01,0.001,0.0005,0.5761734640026683,0.35290788592952504,-0.6408328636071401,0.22615497112975946,1.6889041069398711,1.1982444466108357,0.2571884984025559,1252.0
BTC,0.65,0.35,0.02,0.001,0.0005,0.5761734640026683,0.35290788592952504,-0.6408328636071401,0.22615497112975946,1.6889041069398711,1.1982444466108357,0.2571884984025559,1252.0
BTC,0.65,0.35,0.03,0.001,0.0005,0.5761734640026683,0.35290788592952504,-0.6408328636071401,0.22615497112975946,1.6889041069398711,1.1982444466108357,0.2571884984025559,1252.0
BTC,0.65,0.35,0.01,0.001,0.0002,0.5806140927902714,0.3512494717888015,-0.6516822197923902,0.2289030354762307,1.7182673952621093,1.1987991867534353,0.26118210862619806,1252.0
BTC,0.65,0.35,0.02,0.001,0.0002,0.5806140927902714,0.3512494717888015,-0.6516822197923902,0.2289030354762307,1.7182673952621093,1.1987991867534353,0.26118210862619806,1252.0
BTC,0.65,0.35,0.03,0.001,0.0002,0.5806140927902714,0.3512494717888015,-0.6516822197923902,0.2289030354762307,1.7182673952621093,1.1987991867534353,0.26118210862619806,1252.0
BTC,0.55,0.45,0.01,0.0005,0.001,0.562732334524437,0.3370361284575561,-0.7342002515264783,0.2474520102870481,1.9231894811740182,1.102080654303767,0.2541176470588235,2550.0
BTC,0.55,0.45,0.02,0.0005,0.001,0.562732334524437,0.3370361284575561,-0.7342002515264783,0.2474520102870481,1.9231894811740182,1.102080654303767,0.2541176470588235,2550.0
BTC,0.55,0.45,0.03,0.0005,0.001,0.562732334524437,0.3370361284575561,-0.7342002515264783,0.2474520102870481,1.9231894811740182,1.102080654303767,0.2541176470588235,2550.0
BTC,0.6,0.4,0.01,0.001,0.001,0.5401114546024367,0.32878951817687707,-0.6653513785451529,0.21876055917018178,1.611142871087163,1.156221850228133,0.2536312849162011,1790.0
BTC,0.6,0.4,0.02,0.001,0.001,0.5401114546024367,0.32878951817687707,-0.6653513785451529,0.21876055917018178,1.611142871087163,1.156221850228133,0.2536312849162011,1790.0
BTC,0.6,0.4,0.03,0.001,0.001,0.5401114546024367,0.32878951817687707,-0.6653513785451529,0.21876055917018178,1.611142871087163,1.156221850228133,0.2536312849162011,1790.0
BTC,0.55,0.45,0.01,0.0005,0.0005,0.5603286778494124,0.32456148027301573,-0.7558784290698023,0.24532902184533678,1.8991330673506726,1.099794879849978,0.2541176470588235,2550.0
BTC,0.55,0.45,0.02,0.0005,0.0005,0.5603286778494124,0.32456148027301573,-0.7558784290698023,0.24532902184533678,1.8991330673506726,1.099794879849978,0.2541176470588235,2550.0
BTC,0.55,0.45,0.03,0.0005,0.0005,0.5603286778494124,0.32456148027301573,-0.7558784290698023,0.24532902184533678,1.8991330673506726,1.099794879849978,0.2541176470588235,2550.0
BTC,0.6,0.4,0.01,0.001,0.0005,0.5486805508549778,0.32455720230177654,-0.69255185279988,0.2247726917936408,1.674229839794402,1.1567462140676845,0.253072625698324,1790.0
BTC,0.6,0.4,0.02,0.001,0.0005,0.5486805508549778,0.32455720230177654,-0.69255185279988,0.2247726917936408,1.674229839794402,1.1567462140676845,0.253072625698324,1790.0
BTC,0.6,0.4,0.03,0.001,0.0005,0.5486805508549778,0.32455720230177654,-0.69255185279988,0.2247726917936408,1.674229839794402,1.1567462140676845,0.253072625698324,1790.0
BTC,0.6,0.35,0.01,0.001,0.0005,0.5613159616870231,0.3237049445393988,-0.7024984610206471,0.22740222536370158,1.7021997438984187,1.165493333973735,0.2490170380078637,1526.0
BTC,0.6,0.35,0.02,0.001,0.0005,0.5613159616870231,0.3237049445393988,-0.7024984610206471,0.22740222536370158,1.7021997438984187,1.165493333973735,0.2490170380078637,1526.0
BTC,0.6,0.35,0.03,0.001,0.0005,0.5613159616870231,0.3237049445393988,-0.7024984610206471,0.22740222536370158,1.7021997438984187,1.165493333973735,0.2490170380078637,1526.0
BTC,0.6,0.4,0.01,0.001,0.0002,0.553615775203575,0.3225140890727371,-0.7078305695278964,0.2282853313491262,1.7116451056386293,1.156828948394078,0.2569832402234637,1790.0
BTC,0.6,0.4,0.02,0.001,0.0002,0.553615775203575,0.3225140890727371,-0.7078305695278964,0.2282853313491262,1.7116451056386293,1.156828948394078,0.2569832402234637,1790.0
BTC,0.6,0.4,0.03,0.001,0.0002,0.553615775203575,0.3225140890727371,-0.7078305695278964,0.2282853313491262,1.7116451056386293,1.156828948394078,0.2569832402234637,1790.0
BTC,0.65,0.45,0.01,0.001,0.0005,0.5147732395161836,0.32239237872806426,-0.6266719917373276,0.20203427409845087,1.4418238588145873,1.1592816986117234,0.2606217616580311,1930.0
BTC,0.65,0.45,0.02,0.001,0.0005,0.5147732395161836,0.32239237872806426,-0.6266719917373276,0.20203427409845087,1.4418238588145873,1.1592816986117234,0.2606217616580311,1930.0
BTC,0.65,0.45,0.03,0.001,0.0005,0.5147732395161836,0.32239237872806426,-0.6266719917373276,0.20203427409845087,1.4418238588145873,1.1592816986117234,0.2606217616580311,1930.0
BTC,0.65,0.4,0.01,0.001,0.0002,0.5331117780192435,0.32195132267290877,-0.6410992678127894,0.2064027572369609,1.4851790338961304,1.1739037737797564,0.2631926121372032,1516.0
BTC,0.65,0.4,0.02,0.001,0.0002,0.5331117780192435,0.32195132267290877,-0.6410992678127894,0.2064027572369609,1.4851790338961304,1.1739037737797564,0.2631926121372032,1516.0
BTC,0.65,0.4,0.03,0.001,0.0002,0.5331117780192435,0.32195132267290877,-0.6410992678127894,0.2064027572369609,1.4851790338961304,1.1739037737797564,0.2631926121372032,1516.0
BTC,0.55,0.45,0.01,0.0005,0.0002,0.5586448444587788,0.31754563411223813,-0.7680788440358726,0.24390008357756598,1.883029898665714,1.0982660276521912,0.25372549019607843,2550.0
BTC,0.55,0.45,0.02,0.0005,0.0002,0.5586448444587788,0.31754563411223813,-0.7680788440358726,0.24390008357756598,1.883029898665714,1.0982660276521912,0.25372549019607843,2550.0
BTC,0.55,0.45,0.03,0.0005,0.0002,0.5586448444587788,0.31754563411223813,-0.7680788440358726,0.24390008357756598,1.883029898665714,1.0982660276521912,0.25372549019607843,2550.0
BTC,0.55,0.4,0.01,0.0005,0.0002,0.5689636203942733,0.3168124673121338,-0.7726420283570176,0.2447826273528384,1.8929671613808843,1.1059102576701407,0.25234082397003743,2136.0
BTC,0.55,0.4,0.02,0.0005,0.0002,0.5689636203942733,0.3168124673121338,-0.7726420283570176,0.2447826273528384,1.8929671613808843,1.1059102576701407,0.25234082397003743,2136.0
BTC,0.55,0.4,0.03,0.0005,0.0002,0.5689636203942733,0.3168124673121338,-0.7726420283570176,0.2447826273528384,1.8929671613808843,1.1059102576701407,0.25234082397003743,2136.0
BTC,0.6,0.45,0.01,0.001,0.0005,0.5105567655318206,0.29661406946238084,-0.6852574220195211,0.20325699257451024,1.4538977752698883,1.1409643949915687,0.2545372050816697,2204.0
BTC,0.6,0.45,0.02,0.001,0.0005,0.5105567655318206,0.29661406946238084,-0.6852574220195211,0.20325699257451024,1.4538977752698883,1.1409643949915687,0.2545372050816697,2204.0
BTC,0.6,0.45,0.03,0.001,0.0005,0.5105567655318206,0.29661406946238084,-0.6852574220195211,0.20325699257451024,1.4538977752698883,1.1409643949915687,0.2545372050816697,2204.0
BTC,0.55,0.35,0.01,0.0005,0.0002,0.5617792776103582,0.2949191269578669,-0.79320457375271,0.23393120039013615,1.7726524195918638,1.1083465667217245,0.24893162393162394,1872.0
BTC,0.55,0.35,0.02,0.0005,0.0002,0.5617792776103582,0.2949191269578669,-0.79320457375271,0.23393120039013615,1.7726524195918638,1.1083465667217245,0.24893162393162394,1872.0
BTC,0.55,0.35,0.03,0.0005,0.0002,0.5617792776103582,0.2949191269578669,-0.79320457375271,0.23393120039013615,1.7726524195918638,1.1083465667217245,0.24893162393162394,1872.0
BTC,0.55,0.4,0.01,0.0005,0.0005,0.5290156881573426,0.2791528801333095,-0.7697024052150871,0.21486464326132726,1.5708969604268481,1.0975744630385131,0.25187265917602997,2136.0
BTC,0.55,0.4,0.02,0.0005,0.0005,0.5290156881573426,0.2791528801333095,-0.7697024052150871,0.21486464326132726,1.5708969604268481,1.0975744630385131,0.25187265917602997,2136.0
BTC,0.55,0.4,0.03,0.0005,0.0005,0.5290156881573426,0.2791528801333095,-0.7697024052150871,0.21486464326132726,1.5708969604268481,1.0975744630385131,0.25187265917602997,2136.0
BTC,0.6,0.35,0.01,0.001,0.001,0.5028858495499339,0.2702929254252817,-0.6977655122269489,0.18860108156069222,1.312254376521269,1.1501571097848224,0.24770642201834864,1526.0
BTC,0.6,0.35,0.02,0.001,0.001,0.5028858495499339,0.2702929254252817,-0.6977655122269489,0.18860108156069222,1.312254376521269,1.1501571097848224,0.24770642201834864,1526.0
BTC,0.6,0.35,0.03,0.001,0.001,0.5028858495499339,0.2702929254252817,-0.6977655122269489,0.18860108156069222,1.312254376521269,1.1501571097848224,0.24770642201834864,1526.0
BTC,0.6,0.45,0.01,0.001,0.0002,0.47456306469999,0.2480161228501946,-0.7109666651593795,0.17633119576856182,1.1987326280654962,1.1311234879131575,0.25635208711433755,2204.0
BTC,0.6,0.45,0.02,0.001,0.0002,0.47456306469999,0.2480161228501946,-0.7109666651593795,0.17633119576856182,1.1987326280654962,1.1311234879131575,0.25635208711433755,2204.0
BTC,0.6,0.45,0.03,0.001,0.0002,0.47456306469999,0.2480161228501946,-0.7109666651593795,0.17633119576856182,1.1987326280654962,1.1311234879131575,0.25635208711433755,2204.0
